startYear,averageRating
1892,5.966666666666666
1893,6.2
1894,5.516666666666667
1895,5.466666666666667
1896,4.63047619047619
1897,4.702777777777778
1898,4.910714285714286
1899,5.516666666666667
1900,5.467567567567568
1901,5.842105263157895
1902,5.476923076923077
1903,5.608333333333333
1904,5.455555555555556
1905,5.376923076923077
1906,5.429411764705883
1907,5.468
1908,5.347
1909,5.045604395604395
1910,5.325384615384615
1911,5.38978102189781
1912,5.640437158469946
1913,5.632142857142857
1914,5.761316872427984
1915,5.82280701754386
1916,5.96926406926407
1917,5.907539682539682
1918,5.9941176470588236
1919,5.969172932330827
1920,5.9704
1921,6.228800000000001
1922,6.108064516129032
1923,6.1025
1924,6.119217081850533
1925,6.144559585492228
1926,6.132850241545894
1927,6.144700460829494
1928,6.391780821917808
1929,6.235399999999999
1930,6.024558587479936
1931,6.085695006747638
1932,6.130184049079755
1933,6.170304568527919
1934,6.150793650793651
1935,6.136582809224318
1936,6.146495557749259
1937,6.167244897959184
1938,6.1609729729729725
1939,6.193836344314558
1940,6.235930735930736
1941,6.168972972972973
1942,6.1604554865424435
1943,6.21614077669903
1944,6.211385459533608
1945,6.2471494607087825
1946,6.33772791023843
1947,6.378681626928471
1948,6.435233160621761
1949,6.427098321342926
1950,6.409261300992282
1951,6.38961937716263
1952,6.369120879120879
1953,6.271210579857579
1954,6.286538461538461
1955,6.359677419354839
1956,6.247865853658536
1957,6.30187969924812
1958,6.257777777777777
1959,6.266203208556149
1960,6.391755888650963
1961,6.307069672131147
1962,6.3053459119496855
1963,6.3692982456140355
1964,6.310388247639035
1965,6.310607621009269
1966,6.288115134633241
1967,6.285958595859586
1968,6.248233215547703
1969,6.197224558452481
1970,6.180240549828179
1971,6.192822580645162
1972,6.17427701674277
1973,6.180625
1974,6.213847305389222
1975,6.212690763052209
1976,6.195072024260804
1977,6.236834094368342
1978,6.212261380323055
1979,6.263083451202263
1980,6.153406593406594
1981,6.216329588014981
1982,6.231453362255966
1983,6.201851851851852
1984,6.1954362416107385
1985,6.22485284499673
1986,6.276075550891921
1987,6.101851851851852
1988,6.123333333333333
1989,5.911764705882353
1990,6.45
1991,6.8
1992,7.066666666666666
1993,6.614285714285714
1995,5.46
1999,7.2
2000,5.3
2001,6.966666666666666
2005,5.2
2006,6.025
2010,5.3
2014,7.0
2016,6.75
2018,6.7
2019,6.2
2020,6.4
2021,6.9
1874,6.8
1877,5.575
1878,6.800000000000001
1881,5.75
1882,5.9
1883,6.3
1885,5.3
1887,4.966666666666667
1888,6.12
1889,5.1
1890,5.116666666666666
1891,4.63
1892,4.483333333333333
1893,4.1
1894,4.481720430107527
1895,4.38
1896,4.697133220910624
1897,4.441449275362319
1898,4.580890052356021
1899,4.6971428571428575
1900,4.911764705882353
1901,4.984649122807017
1902,4.964356435643564
1903,4.723846153846154
1904,4.852610441767068
1905,4.921596244131456
1906,4.919762845849802
1907,5.216017316017316
1908,5.277433628318584
1909,5.350261780104712
1910,5.384644194756555
1911,5.330696202531645
1912,5.292786069651741
1913,5.384
1914,5.561271676300578
1915,5.593999999999999
1916,5.624038461538461
1917,5.638461538461538
1918,5.701449275362319
1919,5.845751633986928
1920,5.668949771689498
1921,5.872277227722773
1922,5.811891891891892
1923,5.876020408163265
1924,6.024761904761905
1925,5.904700854700855
1926,5.833333333333333
1927,6.011986301369863
1928,5.9714285714285715
1929,5.722933333333333
1930,5.549333333333333
1931,5.684656084656085
1932,5.779746835443038
1933,5.751282051282051
1934,5.802517162471395
1935,5.865625
1936,5.8964028776978425
1937,5.987415730337079
1938,6.017181467181468
1939,6.1454545454545455
1940,6.002702702702703
1941,6.049561403508772
1942,6.099043062200957
1943,6.126106194690266
1944,6.105985037406484
1945,6.093093922651933
1946,6.207980049875312
1947,6.2117256637168135
1948,6.252905811623246
1949,6.242834394904459
1950,6.412362301101591
1951,6.5535
1952,6.777554304102977
1953,6.986497064579256
1954,6.992370231394621
1955,7.039285714285714
1956,7.054667905248491
1957,7.095726495726496
1958,7.1679846046186135
1959,7.17087122323262
1960,7.181379498364231
1961,7.149618112384069
1962,7.1589703588143525
1963,7.092506142506143
1964,7.0634609763227125
1965,6.969861684057268
1966,7.041290172333489
1967,6.962547656425207
1968,6.9743971631205675
1969,6.9911579892280065
1970,6.883383545770568
1971,6.748181602091751
1972,6.8070565948377935
1973,6.808467381590706
1974,6.895925414364641
1975,6.876531068395172
1976,6.957846556233653
1977,6.939775510204082
1978,6.907846153846155
1979,6.824276681356582
1980,6.836570247933884
1981,6.848981255093725
1982,6.852477962781587
1983,6.880141074335324
1984,6.8667889296432145
1985,6.8753872633390705
1986,6.8329985652797705
1987,6.8095662232504335
1988,6.7393230104429245
1989,6.774553428174136
1990,6.801200594985126
1991,6.833469174503658
1992,6.801023926444468
1993,6.84070030120482
1994,6.859876274287706
1995,6.8821237213833415
1996,6.8581109306103505
1997,6.810375696059773
1998,6.8026130786576475
1999,6.816437430922265
2000,6.852935811195986
2001,6.902082116109843
2002,6.887384615384616
2003,6.878340719082645
2004,6.898814213197969
2005,6.946744384418539
2006,6.894144158855612
2007,6.9003797510154214
2008,6.8640215958315025
2009,6.9627549090909095
2010,7.002018913447405
2011,7.055054310597907
2012,7.0981777384918745
2013,7.061411927506473
2014,7.125408363797731
2015,7.112638304821786
2016,7.13721732608288
2017,7.159832907198674
2018,7.130514357277037
2019,7.146624624519121
2020,7.116867516867517
2021,7.146944899072558
2022,7.337886048377852
2023,7.560297239915075
\N,7.2769811320754725
